UDP;0.0;4.6423353;-74.0997127;0.0
UDP;2589.199951171875;4.6422565;-74.0997021;0.0
UDP;0.0;4.6423202;-74.0997234;0.0
TCP;2591.39990234375;4.6422525;-74.0997045;0.0
TCP;2592.39990234375;4.6422495;-74.0997061;0.0
TCP;2592.60009765625;4.6422496;-74.0997062;0.0
TCP;2592.699951171875;4.6422498;-74.0997063;0.0
TCP;2592.699951171875;4.6422498;-74.0997057;0.0
TCP;2592.60009765625;4.6422501;-74.0997061;0.0
UDP;2592.60009765625;4.64225;-74.0997059;0.0
UDP;2592.60009765625;4.64225;-74.0997061;0.0
UDP;2592.60009765625;4.6422506;-74.0997064;0.0
UDP;2592.60009765625;4.6422506;-74.0997064;0.0
